Rk,Team,Short_team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFS/100 POSS,DEF/100 POSS,EAST/WEST,POSITION,PLAYOFF,PLAYOFF_SCORE
11,Miami Heat,MIA,73,17745,39.6,84.7,0.468,13.5,35.5,0.379,26.1,49.2,0.532,19.8,25.3,0.783,8.5,36,44.5,26,7.5,4.6,15,20.6,112.5,109.5,EAST,5,yes,finals
12,Denver Nuggets,DEN,73,17745,42.7,90.4,0.473,11.2,31.1,0.359,31.6,59.2,0.533,16.5,21.3,0.777,10.9,33.9,44.9,27.2,8.2,4.7,14,20.7,113.1,111,WEST,3,yes,semi-finals
13,Toronto Raptors,TOR,72,17380,39.6,86.6,0.458,13.6,36.4,0.374,26,50.2,0.519,18.2,22.9,0.796,9.4,35.3,44.7,24.9,8.7,4.9,14.6,21.3,111.1,105,EAST,2,yes,quarter-finals
14,San Antonio Spurs,SAS,71,17215,41.6,88.1,0.472,10.5,28,0.376,31,60.1,0.516,18.7,23.1,0.81,8.9,35.1,44,24.3,7.2,5.4,12.4,19.1,112.4,113.5,WEST,11,no,off-playoffs
15,Philadelphia 76ers,PHI,73,17595,41.3,88.4,0.468,11.7,31.8,0.368,29.6,56.6,0.524,17,22.6,0.755,10.5,35.2,45.7,26,8.1,5.4,14.3,21.1,111.3,109,EAST,6,yes,first round
16,Los Angeles Lakers,LAL,71,17090,41.8,87.2,0.48,10.9,31.2,0.349,30.9,56,0.552,17.5,24,0.729,10.5,34.6,45.2,25.1,8.5,6.5,15,20.5,112,106.3,WEST,1,yes,champions
17,Brooklyn Nets,BRK,72,17480,39.4,88,0.448,12.7,37.2,0.343,26.6,50.8,0.524,17.5,23.4,0.745,10.4,36.3,46.7,23.8,6.3,4.4,14.9,20.4,108.9,109.5,EAST,7,yes,first round
18,Utah Jazz,UTA,72,17355,40.5,85.9,0.471,13.5,35.6,0.38,27,50.4,0.535,17.9,23,0.779,9.2,36.1,45.3,22.6,6.1,4.1,15.3,20.6,112.3,109.9,WEST,6,yes,first round
19,Indiana Pacers,IND,73,17620,42.3,88.9,0.476,10.2,28.2,0.363,32.1,60.7,0.529,15.1,19.2,0.787,8.8,34.3,43,26,7.5,5.2,13.3,19.9,110,108,EAST,4,yes,first round
20,Oklahoma City Thunder,OKC,72,17430,40.1,85.8,0.468,10.7,30.3,0.355,29.4,55.6,0.529,19.8,24.9,0.796,8.3,34.8,43,21.8,7.7,4.9,13.7,19.4,110.8,108.8,WEST,5,yes,first round
21,Sacramento Kings,SAC,72,17455,40.9,88.4,0.462,12.7,34.9,0.364,28.2,53.5,0.527,15.7,20.3,0.77,9.7,33,42.6,23.8,7.7,4.1,14.5,22.2,110.2,112.2,WEST,12,no,off-playoffs
22,Orlando Magic,ORL,73,17570,39.8,89.6,0.444,11.2,32.6,0.343,28.6,57,0.502,17.8,22.9,0.774,10.4,34.6,45,24.2,8.3,5.5,13,18.5,108.5,109.5,EAST,8,yes,first round
23,Atlanta Hawks,ATL,67,16280,39,86.8,0.449,11.5,34.6,0.333,27.4,52.2,0.525,17.7,22.4,0.79,9.5,32,41.5,23,7.5,4.9,15.5,22.2,107.2,114.8,EAST,14,no,off-playoffs
24,Minnesota Timberwolves,MIN,64,15560,38.6,87.5,0.441,12.7,37.9,0.336,25.9,49.6,0.521,18.2,24.2,0.753,10.1,32.7,42.8,22.7,8.3,5.4,14.6,20.4,108.1,112.2,WEST,14,no,off-playoffs
25,Detroit Pistons,DET,66,15965,40,87.2,0.459,12.2,33.2,0.367,27.8,53.9,0.515,16.9,22.7,0.743,9.9,32.5,42.4,24.5,7.5,4.6,15.5,20,109,112.7,EAST,13,no,off-playoffs
26,New York Knicks,NYK,66,15965,40.2,89.9,0.447,9.6,28.5,0.337,30.6,61.4,0.499,16.4,23.6,0.694,12.1,34.7,46.8,22.2,7.7,4.8,14.4,22.3,106.5,113,EAST,12,no,off-playoffs
27,Cleveland Cavaliers,CLE,65,15725,40.5,88.4,0.458,11.2,32,0.351,29.3,56.4,0.519,15.2,20,0.758,10.9,33.6,44.5,23.2,6.9,3.3,16.6,18.4,107.5,115.4,EAST,15,no,off-playoffs
28,Chicago Bulls,CHI,65,15675,39.5,88.5,0.447,12.2,35.1,0.348,27.3,53.5,0.511,15.5,20.5,0.755,10.4,31.4,41.8,23.2,10,4.1,15.4,21.8,106.7,109.8,EAST,11,no,off-playoffs
29,Golden State Warriors,GSW,65,15725,38.2,87.2,0.438,10.3,30.9,0.334,27.9,56.3,0.495,18.5,23,0.803,9.8,32.5,42.4,25.3,8.1,4.5,14.7,19.8,105.2,113.8,WEST,15,no,off-playoffs
30,Charlotte Hornets,CHA,65,15750,38.6,88.8,0.434,12.5,35.5,0.352,26.1,53.4,0.489,16.7,22.4,0.748,11.4,32.9,44.2,24.6,6.8,4.3,15.1,19.5,106.3,113.3,WEST,9,no,off-playoffs
